Date,Value
2018-12-31,20602.7
2017-12-31,19809.1
2016-12-31,19133.0
2015-12-31,18541.8
2014-12-31,18042.5
2013-12-31,17492.1
2012-12-31,16957.0
2011-12-31,16409.5
2010-12-31,15911.4
2009-12-31,15480.3
2008-12-31,15225.4
2007-12-31,14674.2
2006-12-31,14049.2
2005-12-31,13409.1
2004-12-31,12661.8
2003-12-31,11967.1
2002-12-31,11432.9
2001-12-31,10939.1
2000-12-31,10373.2
1999-12-31,9724.7
1998-12-31,9178.2
1997-12-31,8729.8
1996-12-31,8286.7
1995-12-31,7901.9
1994-12-31,7548.1
1993-12-31,7206.4
1992-12-31,6871.7
1991-12-31,6559.0
1990-12-31,6211.4
1989-12-31,5809.8
1988-12-31,5439.2
1987-12-31,5067.6
1986-12-31,4766.1
1985-12-31,4512.0
1984-12-31,4222.2
1983-12-31,3941.1
1982-12-31,3691.4
1981-12-31,3394.0
1980-12-31,3055.2
1979-12-31,2721.5
1978-12-31,2432.1
1977-12-31,2184.3
1976-12-31,1987.2
1975-12-31,1832.4
1974-12-31,1649.8
1973-12-31,1435.5
1972-12-31,1301.6
1971-12-31,1212.4
1970-12-31,1125.4
1969-12-31,1038.6
1968-12-31,948.7
1967-12-31,865.7
1966-12-31,801.4
1965-12-31,741.0
1964-12-31,695.5
1963-12-31,656.5
1962-12-31,621.4
1961-12-31,589.3
1960-12-31,562.1
1959-12-31,532.7
1958-12-31,505.3
1957-12-31,478.9
1956-12-31,448.9
1955-12-31,421.4
1954-12-31,402.0
1953-12-31,389.6
1952-12-31,371.6
1951-12-31,346.5
1950-12-31,309.3
1949-12-31,282.4
